round,client,epoch,loss,eval_loss,accuracy,f1
1,1,1.0,0.726,,,
1,1,2.0,0.5446,,,
1,1,2.0,,,,
1,2,1.0,0.8219,,,
1,2,2.0,0.6471,,,
1,2,2.0,,,,
1,3,1.0,0.8251,,,
1,3,2.0,0.5773,,,
1,3,2.0,,,,
1,4,1.0,0.7238,,,
1,4,2.0,0.5325,,,
1,4,2.0,,,,
2,1,1.0,0.5639,,,
2,1,2.0,0.4159,,,
2,1,2.0,,,,
2,2,1.0,0.7131,,,
2,2,2.0,0.5501,,,
2,2,2.0,,,,
2,3,1.0,0.6403,,,
2,3,2.0,0.4225,,,
2,3,2.0,,,,
2,4,1.0,0.5782,,,
2,4,2.0,0.4137,,,
2,4,2.0,,,,
3,1,1.0,0.4064,,,
3,1,2.0,0.3264,,,
3,1,2.0,,,,
3,2,1.0,0.629,,,
3,2,2.0,0.492,,,
3,2,2.0,,,,
3,3,1.0,0.6004,,,
3,3,2.0,0.388,,,
3,3,2.0,,,,
3,4,1.0,0.4335,,,
3,4,2.0,0.3372,,,
3,4,2.0,,,,
