round,client,epoch,loss,eval_loss,accuracy,f1
1,1,1.0,0.7807,,,
1,1,2.0,0.5698,,,
1,1,2.0,,,,
1,2,1.0,0.7792,,,
1,2,2.0,0.5685,,,
1,2,2.0,,,,
1,3,1.0,0.7709,,,
1,3,2.0,0.5611,,,
1,3,2.0,,,,
1,4,1.0,0.7819,,,
1,4,2.0,0.566,,,
1,4,2.0,,,,
2,1,1.0,0.6323,,,
2,1,2.0,0.4455,,,
2,1,2.0,,,,
2,2,1.0,0.6289,,,
2,2,2.0,0.4418,,,
2,2,2.0,,,,
2,3,1.0,0.6232,,,
2,3,2.0,0.4431,,,
2,3,2.0,,,,
2,4,1.0,0.6287,,,
2,4,2.0,0.4425,,,
2,4,2.0,,,,
3,1,1.0,0.5041,,,
3,1,2.0,0.3705,,,
3,1,2.0,,,,
3,2,1.0,0.5003,,,
3,2,2.0,0.3722,,,
3,2,2.0,,,,
3,3,1.0,0.5052,,,
3,3,2.0,0.3749,,,
3,3,2.0,,,,
3,4,1.0,0.5035,,,
3,4,2.0,0.3701,,,
3,4,2.0,,,,
