round,client,epoch,loss,eval_loss,accuracy,f1
1,1,1.0,0.7124,,,
1,1,2.0,0.5158,,,
1,1,2.0,,,,
1,2,1.0,0.7816,,,
1,2,2.0,0.6135,,,
1,2,2.0,,,,
1,3,1.0,0.7675,,,
1,3,2.0,0.586,,,
1,3,2.0,,,,
1,4,1.0,0.7189,,,
1,4,2.0,0.5174,,,
1,4,2.0,,,,
2,1,1.0,0.5939,,,
2,1,2.0,0.4263,,,
2,1,2.0,,,,
2,2,1.0,0.6758,,,
2,2,2.0,0.5277,,,
2,2,2.0,,,,
2,3,1.0,0.6603,,,
2,3,2.0,0.5012,,,
2,3,2.0,,,,
2,4,1.0,0.5877,,,
2,4,2.0,0.4125,,,
2,4,2.0,,,,
3,1,1.0,0.4917,,,
3,1,2.0,0.3612,,,
3,1,2.0,,,,
3,2,1.0,0.5712,,,
3,2,2.0,0.4551,,,
3,2,2.0,,,,
3,3,1.0,0.5643,,,
3,3,2.0,0.4401,,,
3,3,2.0,,,,
3,4,1.0,0.4612,,,
3,4,2.0,0.3455,,,
3,4,2.0,,,,
