round,client,epoch,loss,eval_loss,accuracy,f1
1,1,1.0,0.7829,,,
1,1,2.0,0.5702,,,
1,1,2.0,,,,
1,2,1.0,0.7745,,,
1,2,2.0,0.5636,,,
1,2,2.0,,,,
1,3,1.0,0.7866,,,
1,3,2.0,0.5769,,,
1,3,2.0,,,,
1,4,1.0,0.779,,,
1,4,2.0,0.5682,,,
1,4,2.0,,,,
2,1,1.0,0.6341,,,
2,1,2.0,0.452,,,
2,1,2.0,,,,
2,2,1.0,0.6236,,,
2,2,2.0,0.4401,,,
2,2,2.0,,,,
2,3,1.0,0.639,,,
2,3,2.0,0.4507,,,
2,3,2.0,,,,
2,4,1.0,0.6285,,,
2,4,2.0,0.4444,,,
2,4,2.0,,,,
3,1,1.0,0.5052,,,
3,1,2.0,0.3745,,,
3,1,2.0,,,,
3,2,1.0,0.499,,,
3,2,2.0,0.3667,,,
3,2,2.0,,,,
3,3,1.0,0.5122,,,
3,3,2.0,0.3762,,,
3,3,2.0,,,,
3,4,1.0,0.5009,,,
3,4,2.0,0.3678,,,
3,4,2.0,,,,
